Date,FB,AMZN,AAPL,NFLX,GOOGL,FB_Ret,AMZN_Ret,AAPL_Ret,NFLX_Ret,GOOGL_Ret,NASDAQ,NASDAQ_Ret
2016-03-03,109.58,577.49,23.68,97.93,731.59,-0.0033651659845385096,-0.004687957808379717,0.007659574468085184,0.003278352627804626,-0.010669659760913051,4707.42,0.0008504449953439241
2016-03-04,108.39,575.14,24.03,101.58,730.22,-0.010859645920788473,-0.0040693345339313245,0.014780405405405485,0.03727152047380766,-0.0018726335789172046,4717.02,0.002039333647730679
2016-03-07,105.73,562.8,23.76,95.49,712.8,-0.0245410093182028,-0.02145564558194535,-0.011235955056179804,-0.05995274660366213,-0.023855824272137286,4708.25,-0.0018592246799887802
2016-03-08,105.93,560.26,23.57,96.23,713.53,0.0018916107065165555,-0.004513148542999224,-0.007996632996633002,0.007749502565713717,0.0010241301907969458,4648.82,-0.012622524292465465
2016-03-09,107.51,559.47,23.59,98.0,725.41,0.01491551024261306,-0.0014100596151785938,0.0008485362749257598,0.01839343240153801,0.01664961529298004,4674.38,0.005498169427941013
2016-03-10,107.32,558.93,23.6,97.36,732.17,-0.0017672774625617782,-0.0009651992063919312,0.0004239084357779976,-0.006530612244897927,0.00931886795053827,4662.16,-0.0026142504460484606
2016-03-11,109.41,569.61,23.85,97.66,744.87,0.01947446887812143,0.019107938382266317,0.010593220338983134,0.0030813475760065323,0.01734569840337641,4748.47,0.01851287815090008
2016-03-14,109.89,573.37,23.92,98.13,750.24,0.004387167534960268,0.00660100770702754,0.0029350104821803673,0.00481261519557652,0.007209311691973141,4750.28,0.00038117541018456436
2016-03-15,110.67,577.02,24.4,97.86,750.57,0.007098007098007121,0.006365871950049673,0.020066889632106788,-0.002751452155304146,0.00043985924504164053,4728.67,-0.00454920552051663
2016-03-16,112.18,574.27,24.72,99.35,757.36,0.01364416734435725,-0.004765866001178454,0.013114754098360716,0.01522583282239931,0.009046458025234072,4763.97,0.0074651011806703416
2016-03-17,111.02,559.44,24.68,99.72,758.48,-0.010340524157603892,-0.02582408971389749,-0.0016181229773462036,0.0037242073477605775,0.0014788211682688068,4774.99,0.0023131967665621644
