Date,FB,AMZN,AAPL,NFLX,GOOGL,FB_Ret,AMZN_Ret,AAPL_Ret,NFLX_Ret,GOOGL_Ret
2016-11-11,119.02,739.01,25.67,114.78,771.75,-0.014735099337748303,-0.004539454187882264,0.0058777429467085085,-0.005544966210362157,-0.010944648784426247
2016-11-14,115.08,719.07,25.03,113.38,753.22,-0.03310368005377251,-0.026982043544742207,-0.02493182703544994,-0.012197246907126758,-0.02401036605118234
2016-11-15,117.2,743.24,25.36,113.59,775.16,0.018421967327076905,0.03361286105664263,0.01318417898521762,0.0018521785147294079,0.029128275935317527
2016-11-16,116.34,746.49,26.04,115.19,779.98,-0.0073378839590443334,0.004372746353802359,0.02681388012618302,0.01408574698476972,0.0062180711079002915
2016-11-17,117.79,756.4,26.03,115.03,786.16,0.012463469142169448,0.013275462497823076,-0.00038402457757291675,-0.0013890094626269889,0.0079232800841047
2016-11-18,117.02,760.16,26.06,115.21,775.97,-0.006537057475167751,0.004970914859862452,0.0011525163273145012,0.0015648091802138442,-0.01296173806858647
2016-11-21,121.77,780.0,26.45,117.96,784.8,0.0405913519056571,0.026099768469795892,0.014965464313123622,0.02386945577640831,0.011379305901001224
2016-11-22,121.47,785.33,26.47,118.04,785.0,-0.002463661000246309,0.006833333333333469,0.0007561436672967048,0.0006781959986437158,0.00025484199796133034
2016-11-23,120.84,780.12,26.34,117.69,779.0,-0.005186465794023154,-0.0066341537952199214,-0.004911220249338877,-0.002965096577431492,-0.007643312101910826
2016-11-25,120.38,780.37,26.47,117.41,780.23,-0.0038066865276399353,0.0003204635184330673,0.0049354593773727196,-0.0023791316169597954,0.0015789473684211242
2016-11-28,120.41,766.77,26.42,116.93,785.79,0.0002492108323641773,-0.01742763048297602,-0.0018889308651302006,-0.0040882377991652286,0.007126103841174958
2016-11-29,120.87,762.52,26.39,117.51,789.44,0.0038202807075824463,-0.005542731197099471,-0.001135503406510252,0.004960232617805538,0.004645006935695362
2016-11-30,118.42,750.57,26.17,117.0,775.88,-0.02026971126003141,-0.01567172008603046,-0.008336491095111698,-0.00434005616543276,-0.017176732873936063
2016-12-01,115.1,743.65,25.92,117.22,764.33,-0.02803580476270906,-0.009219659725275609,-0.00955292319449752,0.001880341880341918,-0.014886322627210347
2016-12-02,115.4,740.34,26.02,120.81,764.46,0.0026064291920071536,-0.0044510186243528205,0.0038580246913579863,0.030626173008019064,0.00017008360263237599
2016-12-05,117.43,759.36,25.83,119.16,778.22,0.01759098786828428,0.02569089877623787,-0.00730207532667182,-0.013657809783958363,0.017999633728383424
2016-12-06,117.31,764.72,26.03,124.57,776.18,-0.001021885378523435,0.0070585756426464474,0.007742934572202875,0.04540114132259143,-0.0026213667086428805
2016-12-07,117.95,770.42,26.29,125.39,791.47,0.005455630381041798,0.007453708546919069,0.009988474836726713,0.006582644296379669,0.01969903888273339
2016-12-08,118.91,767.33,26.55,123.24,795.17,0.008139041966935157,-0.004010799304275503,0.009889691898060216,-0.017146502910918016,0.004674845540576289
2016-12-09,119.68,768.66,26.98,122.88,809.45,0.00647548566142464,0.0017332829421499163,0.016195856873822967,-0.0029211295034079487,0.01795842398480829
2016-12-12,117.77,760.12,26.83,122.83,807.9,-0.01595922459893062,-0.0111102438009002,-0.005559673832468581,-0.00040690104166662966,-0.0019148804743962522
2016-12-13,120.31,774.34,27.27,123.78,815.34,0.021567462002207716,0.01870757248855437,0.01639955273947069,0.0077342668729138975,0.009209060527292978
2016-12-14,120.21,768.82,27.27,123.44,817.89,-0.000831186102568382,-0.0071286514967584536,0.0,-0.002746808854419136,0.0031275296195452107
2016-12-15,120.57,761.0,27.42,125.0,815.65,0.002994759171449868,-0.010171431544444776,0.005500550055005604,0.012637718729747283,-0.002738754600251858
2016-12-16,119.87,757.77,27.46,124.22,809.84,-0.005805755992369432,-0.004244415243101152,0.0014587892049597873,-0.006240000000000023,-0.007123153313308372
2016-12-19,119.24,766.0,27.62,125.45,812.5,-0.005255693668140604,0.010860815286960479,0.0058266569555718295,0.009901787151827435,0.0032845994270471746
2016-12-20,119.09,771.22,27.69,125.12,815.2,-0.001257967125125714,0.006814621409921617,0.0025343953656771223,-0.0026305300916700247,0.003323076923076984
2016-12-21,119.04,770.6,27.72,126.5,812.2,-0.0004198505332101421,-0.0008039210601384905,0.0010834236186347823,0.011029411764705843,-0.003680078508341511
2016-12-22,117.4,766.34,27.53,125.58,809.68,-0.013776881720430123,-0.0055281598754217676,-0.0068542568542567794,-0.0072727272727273196,-0.003102684067963657
2016-12-23,117.27,760.59,27.59,125.59,807.8,-0.0011073253833050467,-0.00750319701438007,0.002179440610243333,7.96305144130649e-05,-0.002321904950103759
2016-12-27,118.01,771.4,27.76,128.35,809.93,0.0063102242687815835,0.014212650705373475,0.00616165277274372,0.02197627199617802,0.002636791284971629
2016-12-28,116.92,772.13,27.65,125.89,804.57,-0.009236505380899929,0.0009463313456055111,-0.003962536023054852,-0.019166342033502093,-0.006617855864086919
2016-12-29,116.35,765.15,27.64,125.33,802.88,-0.004875128292849862,-0.009039928509447903,-0.00036166365280276835,-0.004448327905314131,-0.002100500888673529
2016-12-30,115.05,749.87,27.42,123.8,792.45,-0.011173184357541888,-0.019969940534535713,-0.007959479015918869,-0.012207771483284113,-0.012990733359904305
2017-01-03,116.86,753.67,27.5,127.49,808.01,0.015732290308561492,0.0050675450411403755,0.0029175784099197966,0.029806138933764048,0.019635308221338743
2017-01-04,118.69,757.18,27.47,129.41,807.77,0.015659763819955597,0.00465721071556513,-0.0010909090909091423,0.015060004706251462,-0.0002970260269056224
2017-01-05,120.67,780.45,27.61,131.81,813.02,0.016682113067655324,0.030732454634301076,0.005096468875136484,0.01854570744146522,0.006499374822040993
2017-01-06,123.41,795.99,27.92,131.07,825.21,0.022706555067539602,0.019911589467614732,0.011227816008692493,-0.005614141567407693,0.014993481095176175
2017-01-09,124.9,796.92,28.17,130.95,827.18,0.01207357588526059,0.001168356386386682,0.008954154727793595,-0.000915541313801782,0.0023872711188666074
2017-01-10,124.35,795.9,28.2,129.89,826.01,-0.004403522818254735,-0.0012799277217285798,0.0010649627263044081,-0.008094692630775113,-0.0014144442563891468
2017-01-11,126.09,799.02,28.35,130.5,829.86,0.013992762364294364,0.003920090463626069,0.005319148936170359,0.004696281468935304,0.004660960521059021
2017-01-12,126.62,813.64,28.23,129.18,829.53,0.004203346815766507,0.018297414332557382,-0.004232804232804255,-0.010114942528735571,-0.0003976574361941321
2017-01-13,128.34,817.14,28.19,133.7,830.94,0.013583951982309328,0.004301656752372152,-0.001416932341480659,0.03498993652268134,0.0016997576941160109
2017-01-17,127.87,809.72,28.41,132.89,827.46,-0.0036621474209131977,-0.009080451330249373,0.007804185881518322,-0.0060583395661929496,-0.004188028016463341
2017-01-18,127.92,807.48,28.41,133.26,829.02,0.00039102213185260304,-0.0027663883811688272,0.0,0.002784257656708533,0.0018852875063446461
2017-01-19,127.55,809.04,28.36,138.41,824.37,-0.0028924327704815678,0.0019319363947094548,-0.0017599436818022118,0.03864625544049227,-0.005609032351451049
2017-01-20,127.04,808.33,28.41,138.6,828.17,-0.003998431987455864,-0.0008775833086125395,0.0017630465444287147,0.0013727331840185375,0.0046095806494657054
2017-01-23,128.93,817.88,28.43,137.39,844.43,0.014877204030226743,0.011814481709202962,0.0007039774727208847,-0.00873015873015881,0.019633650095994826
2017-01-24,129.37,822.44,28.41,140.11,849.53,0.003412704568370506,0.005575390032767746,-0.000703482237073505,0.01979765630686381,0.006039576992764362
2017-01-25,131.48,836.52,28.86,139.52,858.45,0.016309809074746662,0.017119789893487614,0.015839493136219573,-0.004210977089429746,0.010499923487104823
2017-01-26,132.78,839.15,28.87,138.96,856.98,0.009887435351384255,0.003143977430306588,0.0003465003465004113,-0.004013761467889898,-0.0017123886073737715
2017-01-27,132.18,835.77,28.87,142.45,845.03,-0.004518752824220429,-0.0040278853601859455,0.0,0.02511514104778345,-0.013944316086723196
2017-01-30,130.98,830.38,28.8,141.22,823.83,-0.00907852927825703,-0.006449142706725475,-0.002424662279182588,-0.00863460863460852,-0.025087866702957262
2017-01-31,130.32,823.48,28.73,140.71,820.19,-0.005038937242327068,-0.008309448686143694,-0.0024305555555556024,-0.003611386489165813,-0.004418387288639636
2017-02-01,133.23,832.35,30.48,140.78,815.24,0.0223296500920811,0.010771360567348287,0.06091193873999301,0.00049747708052017,-0.006035186968873174
2017-02-02,130.84,839.95,30.43,139.2,818.26,-0.017938902649553334,0.009130774313690138,-0.0016404199475066328,-0.01122318511152165,0.003704430597124775
2017-02-03,130.98,810.2,30.56,140.25,820.13,0.0010700091715070137,-0.03541877492707901,0.0042720999014129735,0.007543103448276023,0.0022853371788917887
2017-02-06,132.06,807.64,30.85,140.97,821.62,0.008245533669262617,-0.0031597136509504686,0.009489528795811664,0.005133689839572186,0.0018167851438186666
2017-02-07,131.84,812.5,31.14,144.0,829.23,-0.0016659094351052506,0.006017532564013717,0.009400324149108519,0.02149393487976159,0.0092621893332685
2017-02-08,134.2,819.71,31.26,144.74,829.88,0.017900485436893154,0.008873846153846232,0.003853564547206201,0.005138888888889026,0.0007838597252873836
2017-02-09,134.14,821.36,31.49,144.14,830.06,-0.00044709388971686526,0.0020129070036964958,0.007357645553422776,-0.004145364101147075,0.00021689882874631472
2017-02-10,134.19,827.46,31.42,144.82,834.85,0.00037274489339500505,0.007426706925099946,-0.0022229279136232183,0.004717635632024431,0.005770667180685862
2017-02-13,134.05,836.53,31.7,143.2,838.96,-0.0010432968179445723,0.01096125492470934,0.008911521323997418,-0.011186300234774182,0.0049230400670778884
2017-02-14,133.85,836.39,32.11,140.82,840.03,-0.0014919806042522632,-0.00016735801465572742,0.012933753943217718,-0.016620111731843523,0.0012753885763325812
2017-02-15,133.44,842.7,32.22,142.27,837.32,-0.00306313036981698,0.007544327407071005,0.0034257240734973937,0.01029683283624494,-0.0032260752592168096
2017-02-16,133.84,844.14,32.19,142.01,842.17,0.002997601918465209,0.0017087931648271937,-0.0009310986964619072,-0.001827511070499943,0.0057922896861413165
2017-02-17,133.53,845.07,32.27,142.22,846.55,-0.0023161984459055818,0.0011017129859975938,0.0024852438645543984,0.0014787691007676074,0.005200850184642114
2017-02-21,133.72,856.44,32.51,142.6,849.27,0.0014229012206994351,0.013454506727253346,0.007437248218159054,0.0026719167486992657,0.0032130411670900916
2017-02-22,136.12,855.61,32.6,143.86,851.36,0.017947950942267532,-0.0009691280183083961,0.002768378960320117,0.00883590462833106,0.0024609370400461295
2017-02-23,135.36,852.19,32.47,142.78,851.0,-0.005583308845136581,-0.003997148233424008,-0.003987730061349781,-0.0075072987626860765,-0.0004228528472092208
2017-02-24,135.44,845.24,32.5,143.25,847.81,0.0005910165484632746,-0.008155458289818007,0.0009239297813365965,0.003291777559882414,-0.0037485311398355314
2017-02-27,136.41,848.64,32.56,143.41,849.67,0.007161842882457137,0.004022526146419958,0.0018461538461538307,0.0011169284467713592,0.0021938877814604574
2017-02-28,135.54,845.04,32.58,142.13,844.93,-0.006377831537277334,-0.004242081447963786,0.0006142506142505777,-0.008925458475699033,-0.005578636411783355
2017-03-01,137.42,853.08,33.24,142.65,856.75,0.013870444149328476,0.009514342516330654,0.0202578268876612,0.0036586223879546687,0.013989324559430916
2017-03-02,136.76,848.91,33.04,139.53,849.85,-0.004802794353078177,-0.004888169925446717,-0.006016847172081952,-0.02187171398527865,-0.008053691275167751
2017-03-03,137.17,849.88,33.24,139.14,849.08,0.0029979526177243976,0.001142641740585093,0.006053268765133346,-0.0027950978284241312,-0.0009060422427487058
2017-03-06,137.42,846.61,33.13,141.94,847.27,0.0018225559524678303,-0.0038476020144020406,-0.003309265944644979,0.020123616501365627,-0.0021317190370755412
2017-03-07,137.3,846.02,33.18,141.43,851.15,-0.0008732353369230728,-0.0006968970364158444,0.001509206157561005,-0.0035930674933070117,0.004579413882233485
